clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,Address_Type,Exit_Number,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road,Scraped_phone_match_rate,Yelp_phone_match_rate,place_identifier(year),Yellowbook_phone_match_rate,Webscraped_Phone_full_url,Webscraped_PlacedMatched_full_url,Yelp_URL,YellowPages_SEARCH_URL,Match_Comments,Final_Lat,Final_Long
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),24 SO,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2015,Cheyenne,WY,Valero,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),24 03 SO,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2016,Cheyenne,WY,Valero,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
"Cheyenne , 82009 Sapp Bros. - Cheyenne ( Texaco )",307-632-6600 I-80 Exit 370,24 XL 49 =,Cheyenne,82009,Sapp Bros. - Cheyenne ( Texaco ),307-632-6600,2006,Cheyenne,WY,Texaco,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
"Cheyenne , 82009 Sapp Bros. Cheyenne ( Spirit )",307-632-6600 I-80 Exit 370,24 HRS L 2400,Cheyenne,82009,Sapp Bros. Cheyenne ( Spirit ),307-632-6600,2007,Cheyenne,WY,,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
"Cheyenne , 82009 Sapp Bros. - Cheyenne",307-632-6600 I-80 Exit 370 ( Spirit ),24 XL 24,Cheyenne,82009,Sapp Bros. - Cheyenne,307-632-6600,2008,Cheyenne,WY,,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
Cheyenne ( 82009 ) Sapp Bros.- Cheyenne,307-632-6600 I-80 Exit 370,24 <U+2610> XL,Cheyenne,82009,Sapp Bros.- Cheyenne,307-632-6600,2014,Cheyenne,WY,,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
Cheyenne ( 82009 ) Sapp Bros. - Cheyenne,9 307-632-6600 I-80 Exit 370,24 R XL,Cheyenne,82009,Sapp Bros. - Cheyenne,307-632-6600,2015,Cheyenne,WY,,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
Cheyenne ( 82009 ) Sapp Bros. - Cheyenne ( Sinclair ),307-632-6600 I-80 Exit 370,24 XL <U+2610>,Cheyenne,82009,Sapp Bros. - Cheyenne ( Sinclair ),307-632-6600,2016,Cheyenne,WY,Sinclair,Exit,370,I-80,,,,,False,False,6,True,,,,,,,
"Burns , 82053 Antelope Truck Stop",9 307-547-3355 I-80 Exit 386 ( US 30 ),M,Burns,82053,Antelope Truck Stop,307-547-3355,2006,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
"Burns , 82053 End of the Trail",307-547-3355 I-80 Exit 386 ( US 30 ),24 LOO,Burns,82053,End of the Trail,307-547-3355,2007,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
"Burns , 82053 Antelope Truck Stop",9 307-547-3355 I-80 Exit 386 ( US 30 ),M DO,Burns,82053,Antelope Truck Stop,307-547-3355,2008,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
G Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),M,Burns,82053,Antelope Truck Stop,307-547-3355,2014,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),<U+2610> MOO,Burns,82053,Antelope Truck Stop,307-547-3355,2015,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),<U+2610> M <U+25A1>,Burns,82053,Antelope Truck Stop,307-547-3355,2016,Burns,WY,,Exit,386,I-80,,,,,False,False,7,True,,,,,,,
"Hillsdale , 82060",307-547-3557 TravelCenters I-80 Exit 377 ( Hillsdale of America Rd / Cheyenne ),A HRS XL,Hillsdale,82060,,307-547-3557,2006,Hillsdale,WY,,Exit,377,I-80,,,,,False,False,8,True,,,,,,,
"Hillsdale , 82060 TravelCenters of America / Cheyenne",307-547-3557 I-80 Exit 377 ( Hillsdale Rd ) A,465 <U+2610> MODO,Hillsdale,82060,TravelCenters of America / Cheyenne,307-547-3557,2007,Hillsdale,WY,TravelCenters,Exit,377,I-80,,,,,False,False,8,True,,,,,,,
"Hillsdale , 82060 TA- Cheyenne ( BP )",307-547-3557 I-80 Exit 377 ( Hillsdale Rd ) TA,HS 24 24,Hillsdale,82060,TA- Cheyenne ( BP ),307-547-3557,2008,Hillsdale,WY,BP,Exit,377,I-80,,,,,False,False,8,True,,,,,,,
Hillsdale ( 82060 ) TA Cheyenne # 187 ( Exxon ),307-547-3557 I-80 Exit 377 ( Hillsdale Rd ),ZA 24 LO 24,Hillsdale,82060,TA Cheyenne # 187 ( Exxon ),307-547-3557,2014,Hillsdale,WY,Exxon,Exit,377,I-80,,,,,False,False,8,True,,,,,,,
Hillsdale ( 82060 ) TA Exit 377 ( Hillsdale Rd ),9 / 307-547-3557 I-80,4 D L 24,Hillsdale,82060,TA Exit 377 ( Hillsdale Rd ),307-547-3557,2015,Hillsdale,WY,,empty,377,I-80,,,,,False,False,8,True,,,,,,,
Hillsdale ( 82060 ) TA Cheyenne #,307-547-3557 I-80 Exit 377 ( Hillsdale Rd ),TA24 <U+25A1> L <U+2610><U+2610> <U+2610> <U+2610>,Hillsdale,82060,TA Cheyenne #,307-547-3557,2016,Hillsdale,WY,,Exit,377,I-80,,,,,False,False,8,True,,,,,,,
"Laramie , 82070 High Country Sportsman ( Sinclair )",307-721-7406 I-80 Exit 311 ( Snowy Range ),XL 24,Laramie,82070,High Country Sportsman ( Sinclair ),307-721-7406,2006,Laramie,WY,Sinclair,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
"F Laramie , 82070 High Country Sportsman (",307-721-74061-80 Exit 311 ( Snowy Range Sinclair ) ),N,Laramie,82070,High Country Sportsman (,307-721-7406,2007,Laramie,WY,,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
"Laramie , 82070",307-721-7406 High I-80 Country Exit 311 Sportsman ( Snowy Range ( Sinclair ) ),,Laramie,82070,,307-721-7406,2008,Laramie,WY,,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
F Laramie ( 82070 ) Big D # 44 ( Exxon ),8 307-721-7406 I-80 Exit 311 ( Snowy Range ),<U+25A1> D,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2014,Laramie,WY,Exxon,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
Laramie ( 82070 ) Big D # 44 ( Exxon ),8 307-721-7406 I-80 Exit 311 ( Snowy,<U+2610> <U+2610>,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2015,Laramie,WY,Exxon,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
Laramie ( 82070 ) Big D # 44 ( Exxon ),307-721-7406 I-80 Exit 311 ( Snowy Range ),<U+2610>,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2016,Laramie,WY,Exxon,Exit,311,I-80,,,,,False,False,9,True,,,,,,,
"F Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),24 HRS L,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2006,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
"Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2007,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
"Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),HOES 24 L <U+2610><U+2610>,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2008,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
F Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus I-80 E ),Plaz LO,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2014,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
F Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus Pilat,L,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2015,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus I-80 E ) pilat,24 <U+25A1> Lo 0 24,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2016,Laramie,WY,Pilot,Exit,310,I-80,,,,,False,False,10,True,,,,,,40.739716,-111.944625
"Laramie , 82070 Petro Stopping Center # 3",307-745-6480 I-80 Exit 310 ( Curtis St ) PETRO,24 XL D,Laramie,82070,Petro Stopping Center # 3,307-745-6480,2006,Laramie,WY,,Exit,310,I-80,,,,,False,False,11,True,,,,,,,
F Center # 3,"307-745-6480 Laramie , 82070 I-80 Petro Exit Stopping 310 ( Curtis St ) PETRO",,,82070,,307-745-6480,2007,Laramie,WY,,Exit,,I-80,,,,,False,False,11,True,,,,,,,
"Laramie , 82070 Petro Stopping Center # 3",8 307-745-6480 I-80 Exit 310 ( Curtis St ) PETRO,24 XL 240,Laramie,82070,Petro Stopping Center # 3,307-745-6480,2008,Laramie,WY,,Exit,310,I-80,,,,,False,False,11,True,,,,,,,
Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St W ),PETRO <U+25A1> XL 29,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2014,Laramie,WY,Shell,Exit,310,I-80,,,,,False,False,11,True,,,,,,,
Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St ),24 <U+2610> XL 24 22,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2015,Laramie,WY,Shell,Exit,310,I-80,,,,,False,False,11,True,,,,,,,
F Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St W ),24 <U+2610> XL 24,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2016,Laramie,WY,Shell,Exit,310,I-80,,,,,False,False,11,True,,,,,,,
"F Laramie , 82070 Diamond Shamrock # 4552",8 307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),HRS 24 M O,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2006,Laramie,WY,Shamrock,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
"Laramie , 82070 Diamond Shamrock # 4552",307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2007,Laramie,WY,Shamrock,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
"Laramie , 82070 Diamond Shamrock # 4552",8 307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),24 M <U+2610> <U+2610> <U+2610>,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2008,Laramie,WY,Shamrock,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),8 307-745-7394 I-80 Exit 310 ( Bus I-80 E ),24 MO <U+25A1>,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2014,Laramie,WY,Valero,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),8 307-745-7394 I-80 Exit 310 ( Bus I-80 E ),R M,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2015,Laramie,WY,Valero,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),307-745-7394 I-80 Exit 310 ( Bus I-80 E ),24 03 M <U+2610>,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2016,Laramie,WY,Valero,Exit,310,I-80,,,,,False,False,12,True,,,,,,,
"Pine Bluffs , 82082 Ampride ( Cenex )",307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HRS 24 MOO M,Pine Bluffs,82082,Ampride ( Cenex ),307-245-3593,2006,Pine Bluffs,WY,Cenex,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
"Pine Bluffs , 82082 Ampride ( Cenex )",307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HRS MO,Pine Bluffs,82082,Ampride ( Cenex ),307-245-3593,2007,Pine Bluffs,WY,Cenex,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
"Pine Bluffs , 82082 Ampride ( Cenex ) 24",9 307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HORS 24 M,Pine Bluffs,82082,Ampride ( Cenex ) 24,307-245-3593,2008,Pine Bluffs,WY,Cenex,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
Pine Bluffs ( 82082 ) Pine Bluffs Sinclair,9 307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M,Pine Bluffs,82082,Pine Bluffs Sinclair,307-245-3593,2014,Pine Bluffs,WY,Sinclair,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
Pine Bluffs ( 82082 ) Pine Bluffs Sinclair ),307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M O,Pine Bluffs,82082,Pine Bluffs Sinclair ),307-245-3593,2015,Pine Bluffs,WY,Sinclair,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
G Pine Bluffs ( 82082 ) Pine Bluffs Sinclair,307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M,Pine Bluffs,82082,Pine Bluffs Sinclair,307-245-3593,2016,Pine Bluffs,WY,Sinclair,Exit,401,I-80,,,,,False,False,13,True,,,,,,,
"Wheatland , 82201 Wheatland Travel Plaza ( Sinclair )",307-322-1884 I-25 Exit 80,MOO,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2006,Wheatland,WY,Sinclair,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
"E Wheatland , 82201 Wheatland Travel Plaza ( Sinclair )",307-322-1884 I-25 Exit 80,48 MOO,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2007,Wheatland,WY,Sinclair,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
"Wheatland , 82201 Wheatland Travel Plaza",8 307-322-1884 I-25 Exit 80 ( Sinclair ),HRS 24 M,Wheatland,82201,Wheatland Travel Plaza,307-322-1884,2008,Wheatland,WY,,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),8 307-322-1884 I-25 Exit 80,M O,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2014,Wheatland,WY,Sinclair,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),8 307-322-1884 I-25 Exit 80,24 L MOO S <U+25A1>,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2015,Wheatland,WY,Sinclair,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),307-322-1884 I-25 Exit 80,24 MO <U+2610><U+2610><U+2610> <U+2610>,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2016,Wheatland,WY,Sinclair,Exit,80,I-25,,,,,False,False,14,True,,,,,,,
"= 8307-322-2802 Wheatland , 82201 Common Cents ( Exxon ) St S )",I-25 Exit 78,M S DOO D,Wheatland,82201,Common Cents ( Exxon ) St S ),307-322-2802,2006,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
"Wheatland , 82201 Common Cents ( Exxon )",307-322-2802 I-25 Exit 78,489 M O,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2007,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
"Wheatland , 82201 Common Cents ( Exxon St S )",8 307-322-2802 I-25 Exit 78 ),HRS 24 M D 00,Wheatland,82201,Common Cents ( Exxon St S ),307-322-2802,2008,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
Wheatland ( 82201 ) Common Cents ( Exxon ),307-322-2802 I-25 Exit 78,24 M <U+25A1>,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2014,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
Wheatland ( 82201 ) Common Cents ( Exxon ),307-322-2802 I-25 Exit 78,24 M S <U+25A1> D D,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2015,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
Wheatland ( 82201 ) Common Cents ( Exxon ),8 307-322-2802 I-25 Exit 78,M <U+2610> <U+25A1>,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2016,Wheatland,WY,Exxon,Exit,78,I-25,,,,,False,False,15,True,,,,,,,
"8307-322-5921 Wheatland , 82201 I-25 Conoco",I-25 Exit 78,S,Wheatland,82201,I-25 Conoco,307-322-5921,2006,Wheatland,WY,Conoco,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
"E Wheatland , 82201 I-25 Conoco",307-322-5921 I-25 Exit 78,S,Wheatland,82201,I-25 Conoco,307-322-5921,2007,Wheatland,WY,Conoco,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
"Wheatland , 82201 I-25 Pit Stop",8 307-322-5921 I-25 Exit 78,<U+2610> S <U+2610>,Wheatland,82201,I-25 Pit Stop,307-322-5921,2008,Wheatland,WY,,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
Wheatland ( 82201 ) I-25 Pit Stop,8 307-322-5921 I-25 Exit 78,<U+2610> S <U+25A1> <U+2610>,Wheatland,82201,I-25 Pit Stop,307-322-5921,2014,Wheatland,WY,,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
Wheatland ( 82201 ) I-25 Pit Stop,307-322-5921 I-25 Exit 78,24 S MOO D,Wheatland,82201,I-25 Pit Stop,307-322-5921,2015,Wheatland,WY,,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
8 Wheatland ( 82201 ) I-25 Pit Stop,8 307-322-5921 I-25 Exit 78,S <U+25A1>,Wheatland,82201,I-25 Pit Stop,307-322-5921,2016,Wheatland,WY,,Exit,78,I-25,,,,,False,False,16,True,,,,,,,
"E Glendo , 82213 Howard's General Store ( Sinclair )",8 307-735-4252 I-25 Exit 111 ( A St ),M,Glendo,82213,Howard's General Store ( Sinclair ),307-735-4252,2006,Glendo,WY,Sinclair,Exit,111,I-25,,,,,False,False,17,True,,,,,,,
