clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Flagged,Flag_Reason,Is_Unclear_OCR,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",307-635-2918 I-25 Exit 7 ( College Dr ),# 24,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2006,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",307-635-2918 I-25 Exit 7 ( College Dr ),24 HRS SOO,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2007,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",9 307-635-2918 I-25 Exit 7 ( College Dr ),24 The X 24,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2008,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,9 307-635-2918 I-25 Exit 7 ( College Dr ),24 XL 24,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2014,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,9 307-635-2918 I-25 Exit 7 ( College Dr ),FLYING J 24 XL 24 1005,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2015,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,307-635-2918 I-25 Exit 7 ( College Dr ),FLYING 24 XLOO HS 24 HAS 24,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2016,Cheyenne,WY,Flying J,( College Dr ),I-25 Exit 7 ,Exit,7,False,,False,I-25,,None,,
"Cheyenne , 82007 Cheyenne Travel Plaza ( Sinclair )",307-635-5744 I-80 Exit 367,24 M <U+2610>,Cheyenne,82007,Cheyenne Travel Plaza ( Sinclair ),307-635-5744,2006,Cheyenne,WY,Sinclair,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
"Cheyenne , 82007 Cheyenne Travel Plaza ( Sinclair )",307-635-5744 I-80 Exit 367,24 HRS L,Cheyenne,82007,Cheyenne Travel Plaza ( Sinclair ),307-635-5744,2007,Cheyenne,WY,Sinclair,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
"Cheyenne , 82007 Pilot Travel Center # 402",307-635-5744 I-80 Exit 367,HRS 24 <U+2610> <U+2610> <U+2610> <U+2610>,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2008,Cheyenne,WY,Pilot,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Plot 24 L,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2014,Cheyenne,WY,Pilot,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Pilot 24 L,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2015,Cheyenne,WY,Pilot,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Pilot 24 24,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2016,Cheyenne,WY,Pilot,,I-80 Exit 367,Exit,367,False,,False,I-80,,None,,
"Cheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),24,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2006,Cheyenne,WY,Shamrock,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
"6 GCheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2007,Cheyenne,WY,Shamrock,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
"Cheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),24 S,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2008,Cheyenne,WY,Shamrock,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),22 S,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2014,Cheyenne,WY,Valero,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),24 SO,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2015,Cheyenne,WY,Valero,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),24 03 SO,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2016,Cheyenne,WY,Valero,( US 85 ),I-80 Exit 362 ,Exit,362,False,,False,I-80,,None,,
"Cheyenne , 82009 Sapp Bros. - Cheyenne ( Texaco )",307-632-6600 I-80 Exit 370,24 XL 49 =,Cheyenne,82009,Sapp Bros. - Cheyenne ( Texaco ),307-632-6600,2006,Cheyenne,WY,Texaco,,I-80 Exit 370,Exit,370,False,,False,I-80,,None,,
"Cheyenne , 82009 Sapp Bros. Cheyenne ( Spirit )",307-632-6600 I-80 Exit 370,24 HRS L 2400,Cheyenne,82009,Sapp Bros. Cheyenne ( Spirit ),307-632-6600,2007,Cheyenne,WY,,,I-80 Exit 370,Exit,370,False,,False,I-80,,None,,
"Cheyenne , 82009 Sapp Bros. - Cheyenne",307-632-6600 I-80 Exit 370 ( Spirit ),24 XL 24,Cheyenne,82009,Sapp Bros. - Cheyenne,307-632-6600,2008,Cheyenne,WY,,( Spirit ),I-80 Exit 370 ,Exit,370,False,,False,I-80,,None,,
Cheyenne ( 82009 ) Sapp Bros.- Cheyenne,307-632-6600 I-80 Exit 370,24 <U+2610> XL,Cheyenne,82009,Sapp Bros.- Cheyenne,307-632-6600,2014,Cheyenne,WY,,,I-80 Exit 370,Exit,370,False,,False,I-80,,None,,
Cheyenne ( 82009 ) Sapp Bros. - Cheyenne,9 307-632-6600 I-80 Exit 370,24 R XL,Cheyenne,82009,Sapp Bros. - Cheyenne,307-632-6600,2015,Cheyenne,WY,,,I-80 Exit 370,Exit,370,False,,False,I-80,,None,,
Cheyenne ( 82009 ) Sapp Bros. - Cheyenne ( Sinclair ),307-632-6600 I-80 Exit 370,24 XL <U+2610>,Cheyenne,82009,Sapp Bros. - Cheyenne ( Sinclair ),307-632-6600,2016,Cheyenne,WY,Sinclair,,I-80 Exit 370,Exit,370,False,,False,I-80,,None,,
"Burns , 82053 Antelope Truck Stop",9 307-547-3355 I-80 Exit 386 ( US 30 ),M,Burns,82053,Antelope Truck Stop,307-547-3355,2006,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
"Burns , 82053 End of the Trail",307-547-3355 I-80 Exit 386 ( US 30 ),24 LOO,Burns,82053,End of the Trail,307-547-3355,2007,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
"Burns , 82053 Antelope Truck Stop",9 307-547-3355 I-80 Exit 386 ( US 30 ),M DO,Burns,82053,Antelope Truck Stop,307-547-3355,2008,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
G Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),M,Burns,82053,Antelope Truck Stop,307-547-3355,2014,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),<U+2610> MOO,Burns,82053,Antelope Truck Stop,307-547-3355,2015,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
Burns ( 82053 ) Antelope Truck Stop,307-547-3355 I-80 Exit 386 ( US 30 ),<U+2610> M <U+25A1>,Burns,82053,Antelope Truck Stop,307-547-3355,2016,Burns,WY,,( US 30 ),I-80 Exit 386 ,Exit,386,False,,False,I-80,,None,,
"Hillsdale , 82060",307-547-3557 TravelCenters I-80 Exit 377 ( Hillsdale of America Rd / Cheyenne ),A HRS XL,Hillsdale,82060,,307-547-3557,2006,Hillsdale,WY,,( Hillsdale of America Rd / Cheyenne ),TravelCenters I-80 Exit 377 ,Exit,377,False,,False,I-80,,None,,
"Hillsdale , 82060 TravelCenters of America / Cheyenne",307-547-3557 I-80 Exit 377 ( Hillsdale Rd ) A,465 <U+2610> MODO,Hillsdale,82060,TravelCenters of America / Cheyenne,307-547-3557,2007,Hillsdale,WY,TravelCenters,( Hillsdale Rd ) A,I-80 Exit 377 ,Exit,377,False,,False,I-80,,None,,
"Hillsdale , 82060 TA- Cheyenne ( BP )",307-547-3557 I-80 Exit 377 ( Hillsdale Rd ) TA,HS 24 24,Hillsdale,82060,TA- Cheyenne ( BP ),307-547-3557,2008,Hillsdale,WY,BP,( Hillsdale Rd ) TA,I-80 Exit 377 ,Exit,377,False,,False,I-80,,None,,
Hillsdale ( 82060 ) TA Cheyenne # 187 ( Exxon ),307-547-3557 I-80 Exit 377 ( Hillsdale Rd ),ZA 24 LO 24,Hillsdale,82060,TA Cheyenne # 187 ( Exxon ),307-547-3557,2014,Hillsdale,WY,Exxon,( Hillsdale Rd ),I-80 Exit 377 ,Exit,377,False,,False,I-80,,None,,
Hillsdale ( 82060 ) TA Exit 377 ( Hillsdale Rd ),9 / 307-547-3557 I-80,4 D L 24,Hillsdale,82060,TA Exit 377 ( Hillsdale Rd ),307-547-3557,2015,Hillsdale,WY,,,I-80,empty,377,False,,False,I-80,,None,,
Hillsdale ( 82060 ) TA Cheyenne #,307-547-3557 I-80 Exit 377 ( Hillsdale Rd ),TA24 <U+25A1> L <U+2610><U+2610> <U+2610> <U+2610>,Hillsdale,82060,TA Cheyenne #,307-547-3557,2016,Hillsdale,WY,,( Hillsdale Rd ),I-80 Exit 377 ,Exit,377,False,,False,I-80,,None,,
"Laramie , 82070 High Country Sportsman ( Sinclair )",307-721-7406 I-80 Exit 311 ( Snowy Range ),XL 24,Laramie,82070,High Country Sportsman ( Sinclair ),307-721-7406,2006,Laramie,WY,Sinclair,( Snowy Range ),I-80 Exit 311 ,Exit,311,False,,False,I-80,,None,,
"F Laramie , 82070 High Country Sportsman (",307-721-74061-80 Exit 311 ( Snowy Range Sinclair ) ),N,Laramie,82070,High Country Sportsman (,307-721-7406,2007,Laramie,WY,,( Snowy Range Sinclair ) ),I-80 Exit 311 ,Exit,311,False,,False,I-80,,None,,
"Laramie , 82070",307-721-7406 High I-80 Country Exit 311 Sportsman ( Snowy Range ( Sinclair ) ),,Laramie,82070,,307-721-7406,2008,Laramie,WY,,( Snowy Range ( Sinclair ) ),High I-80 Country Exit 311 Sportsman ,Exit,311,False,,False,I-80,,None,,
F Laramie ( 82070 ) Big D # 44 ( Exxon ),8 307-721-7406 I-80 Exit 311 ( Snowy Range ),<U+25A1> D,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2014,Laramie,WY,Exxon,( Snowy Range ),I-80 Exit 311 ,Exit,311,False,,False,I-80,,None,,
Laramie ( 82070 ) Big D # 44 ( Exxon ),8 307-721-7406 I-80 Exit 311 ( Snowy,<U+2610> <U+2610>,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2015,Laramie,WY,Exxon,( Snowy,I-80 Exit 311 ,Exit,311,False,,False,I-80,,None,,
Laramie ( 82070 ) Big D # 44 ( Exxon ),307-721-7406 I-80 Exit 311 ( Snowy Range ),<U+2610>,Laramie,82070,Big D # 44 ( Exxon ),307-721-7406,2016,Laramie,WY,Exxon,( Snowy Range ),I-80 Exit 311 ,Exit,311,False,,False,I-80,,None,,
"F Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),24 HRS L,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2006,Laramie,WY,Pilot,( Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2007,Laramie,WY,Pilot,( Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Laramie , 82070 Pilot Travel Center # 308",307-742-6443 I-80 Exit 310 ( Curtis St ),HOES 24 L <U+2610><U+2610>,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2008,Laramie,WY,Pilot,( Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
F Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus I-80 E ),Plaz LO,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2014,Laramie,WY,Pilot,( Bus I-80 E ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
F Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus Pilat,L,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2015,Laramie,WY,Pilot,( Bus Pilat,I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Pilot Travel Center # 308,8 307-742-6443 I-80 Exit 310 ( Bus I-80 E ) pilat,24 <U+25A1> Lo 0 24,Laramie,82070,Pilot Travel Center # 308,307-742-6443,2016,Laramie,WY,Pilot,( Bus I-80 E ) pilat,I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Laramie , 82070 Petro Stopping Center # 3",307-745-6480 I-80 Exit 310 ( Curtis St ) PETRO,24 XL D,Laramie,82070,Petro Stopping Center # 3,307-745-6480,2006,Laramie,WY,,( Curtis St ) PETRO,I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
F Center # 3,"307-745-6480 Laramie , 82070 I-80 Petro Exit Stopping 310 ( Curtis St ) PETRO",,,82070,,307-745-6480,2007,Laramie,WY,,( Curtis St ) PETRO,"Laramie, I-80 Petro Exit Stopping 310",Exit,,False,,False,I-80,,None,,
"Laramie , 82070 Petro Stopping Center # 3",8 307-745-6480 I-80 Exit 310 ( Curtis St ) PETRO,24 XL 240,Laramie,82070,Petro Stopping Center # 3,307-745-6480,2008,Laramie,WY,,( Curtis St ) PETRO,I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St W ),PETRO <U+25A1> XL 29,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2014,Laramie,WY,Shell,( Curtis St W ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St ),24 <U+2610> XL 24 22,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2015,Laramie,WY,Shell,( Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
F Laramie ( 82070 ) Petro Laramie # 303 ( Shell ),8 307-745-6480 I-80 Exit 310 ( Curtis St W ),24 <U+2610> XL 24,Laramie,82070,Petro Laramie # 303 ( Shell ),307-745-6480,2016,Laramie,WY,Shell,( Curtis St W ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"F Laramie , 82070 Diamond Shamrock # 4552",8 307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),HRS 24 M O,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2006,Laramie,WY,Shamrock,( 1 mi E on Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Laramie , 82070 Diamond Shamrock # 4552",307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2007,Laramie,WY,Shamrock,( 1 mi E on Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Laramie , 82070 Diamond Shamrock # 4552",8 307-745-7394 I-80 Exit 310 ( 1 mi E on Curtis St ),24 M <U+2610> <U+2610> <U+2610>,Laramie,82070,Diamond Shamrock # 4552,307-745-7394,2008,Laramie,WY,Shamrock,( 1 mi E on Curtis St ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),8 307-745-7394 I-80 Exit 310 ( Bus I-80 E ),24 MO <U+25A1>,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2014,Laramie,WY,Valero,( Bus I-80 E ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),8 307-745-7394 I-80 Exit 310 ( Bus I-80 E ),R M,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2015,Laramie,WY,Valero,( Bus I-80 E ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
Laramie ( 82070 ) Corner Store # 4552 ( Valero ),307-745-7394 I-80 Exit 310 ( Bus I-80 E ),24 03 M <U+2610>,Laramie,82070,Corner Store # 4552 ( Valero ),307-745-7394,2016,Laramie,WY,Valero,( Bus I-80 E ),I-80 Exit 310 ,Exit,310,False,,False,I-80,,None,,
"Pine Bluffs , 82082 Ampride ( Cenex )",307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HRS 24 MOO M,Pine Bluffs,82082,Ampride ( Cenex ),307-245-3593,2006,Pine Bluffs,WY,Cenex,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
"Pine Bluffs , 82082 Ampride ( Cenex )",307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HRS MO,Pine Bluffs,82082,Ampride ( Cenex ),307-245-3593,2007,Pine Bluffs,WY,Cenex,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
"Pine Bluffs , 82082 Ampride ( Cenex ) 24",9 307-245-3593 I-80 Exit 401 ( 1/2 blk N ),HORS 24 M,Pine Bluffs,82082,Ampride ( Cenex ) 24,307-245-3593,2008,Pine Bluffs,WY,Cenex,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
Pine Bluffs ( 82082 ) Pine Bluffs Sinclair,9 307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M,Pine Bluffs,82082,Pine Bluffs Sinclair,307-245-3593,2014,Pine Bluffs,WY,Sinclair,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
Pine Bluffs ( 82082 ) Pine Bluffs Sinclair ),307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M O,Pine Bluffs,82082,Pine Bluffs Sinclair ),307-245-3593,2015,Pine Bluffs,WY,Sinclair,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
G Pine Bluffs ( 82082 ) Pine Bluffs Sinclair,307-245-3593 I-80 Exit 401 ( 1/2 blk N ),24 M,Pine Bluffs,82082,Pine Bluffs Sinclair,307-245-3593,2016,Pine Bluffs,WY,Sinclair,( 1/2 blk N ),I-80 Exit 401 ,Exit,401,False,,False,I-80,,None,,
"Wheatland , 82201 Wheatland Travel Plaza ( Sinclair )",307-322-1884 I-25 Exit 80,MOO,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2006,Wheatland,WY,Sinclair,,I-25 Exit 80,Exit,80,False,,False,I-25,,None,,
"E Wheatland , 82201 Wheatland Travel Plaza ( Sinclair )",307-322-1884 I-25 Exit 80,48 MOO,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2007,Wheatland,WY,Sinclair,,I-25 Exit 80,Exit,80,False,,False,I-25,,None,,
"Wheatland , 82201 Wheatland Travel Plaza",8 307-322-1884 I-25 Exit 80 ( Sinclair ),HRS 24 M,Wheatland,82201,Wheatland Travel Plaza,307-322-1884,2008,Wheatland,WY,,( Sinclair ),I-25 Exit 80 ,Exit,80,False,,False,I-25,,None,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),8 307-322-1884 I-25 Exit 80,M O,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2014,Wheatland,WY,Sinclair,,I-25 Exit 80,Exit,80,False,,False,I-25,,None,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),8 307-322-1884 I-25 Exit 80,24 L MOO S <U+25A1>,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2015,Wheatland,WY,Sinclair,,I-25 Exit 80,Exit,80,False,,False,I-25,,None,,
Wheatland ( 82201 ) Wheatland Travel Plaza ( Sinclair ),307-322-1884 I-25 Exit 80,24 MO <U+2610><U+2610><U+2610> <U+2610>,Wheatland,82201,Wheatland Travel Plaza ( Sinclair ),307-322-1884,2016,Wheatland,WY,Sinclair,,I-25 Exit 80,Exit,80,False,,False,I-25,,None,,
"= 8307-322-2802 Wheatland , 82201 Common Cents ( Exxon ) St S )",I-25 Exit 78,M S DOO D,Wheatland,82201,Common Cents ( Exxon ) St S ),307-322-2802,2006,Wheatland,WY,Exxon,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
"Wheatland , 82201 Common Cents ( Exxon )",307-322-2802 I-25 Exit 78,489 M O,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2007,Wheatland,WY,Exxon,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
"Wheatland , 82201 Common Cents ( Exxon St S )",8 307-322-2802 I-25 Exit 78 ),HRS 24 M D 00,Wheatland,82201,Common Cents ( Exxon St S ),307-322-2802,2008,Wheatland,WY,Exxon,,I-25 Exit 78 ,Exit,78,False,,False,I-25,,None,,
Wheatland ( 82201 ) Common Cents ( Exxon ),307-322-2802 I-25 Exit 78,24 M <U+25A1>,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2014,Wheatland,WY,Exxon,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
Wheatland ( 82201 ) Common Cents ( Exxon ),307-322-2802 I-25 Exit 78,24 M S <U+25A1> D D,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2015,Wheatland,WY,Exxon,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
Wheatland ( 82201 ) Common Cents ( Exxon ),8 307-322-2802 I-25 Exit 78,M <U+2610> <U+25A1>,Wheatland,82201,Common Cents ( Exxon ),307-322-2802,2016,Wheatland,WY,Exxon,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
"8307-322-5921 Wheatland , 82201 I-25 Conoco",I-25 Exit 78,S,Wheatland,82201,I-25 Conoco,307-322-5921,2006,Wheatland,WY,Conoco,,I-25 Exit 78,Exit,78,False,,False,I-25,,None,,
