clean_line1,clean_line2,line3,city,zip_code,label,phone,address,year,major_city,state,chain
"Ludlow , 01056 Ludlow Plaza EB Exxon # 5030 )",413-583-3779 I-90 ( MATP ) MM 56 EB,24 HRS S - <U+2610>,Ludlow,1056,Ludlow Plaza EB Exxon # 5030 ),413-583-3779,I-90 ( MATP ) MM 56 EB,2007,Ludlow,MA,Exxon
"E Ludlow , 01056 Ludlow Plaza EB Exxon # 5030",413-583-3779 I-90 ( MATP ) MM 56 EB,124 S <U+2610><U+2610>,Ludlow,1056,Ludlow Plaza EB Exxon # 5030,413-583-3779,I-90 ( MATP ) MM 56 EB,2008,Ludlow,MA,Exxon
E Ludlow ( 01056 ) Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S <U+25A1>,Ludlow,1056,Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2014,Ludlow,MA,Gulf
Ludlow ( 01056 ) Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S,Ludlow,1056,Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2015,Ludlow,MA,Gulf
Ludlow ( 01056 ) Ludlow Plaza EB # 852 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S 24 <U+2610>,Ludlow,1056,Ludlow Plaza EB # 852 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2016,Ludlow,MA,Gulf
"Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,),Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2006,Ludlow,MA,Exxon
"E Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,24 HRS S 0,Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2007,Ludlow,MA,Exxon
"Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,103 24 <U+25A1> S,Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2008,Ludlow,MA,Exxon
Ludlow ( 01056 ) Ludlow Plaza WB # 9035 ( Gulf ),3 413-589-7333 I-90 ( MATP ) MM 56 WB,24 S,Ludlow,1056,Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2014,Ludlow,MA,Gulf
Ludlow ( 01056 ) Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333 I-90 ( MATP ) MM 56 WB,124 S <U+2610>,Ludlow,1056,Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2015,Ludlow,MA,Gulf
Ludlow ( 01056 ) Ludlow Plaza WB # 853 ( Gulf ),413-589-7333 I-90 ( MATP ) MM 56 WB,24 S <U+25A1> <U+2610>,Ludlow,1056,Ludlow Plaza WB # 853 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2016,Ludlow,MA,Gulf
"Southwick , 01077 The Notch Travel Center ( Shell )",413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction,,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction,2006,Southwick,MA,Shell
"E Southwick , 01077 The Notch Travel Center ( Shell MA ) 138 S )",413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction,) 24 RS SS,Southwick,1077,The Notch Travel Center ( Shell MA ) 138 S ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction,2007,Southwick,MA,Shell
"Southwick , 01077 The Notch Travel Center ( Shell )",31413-569-1200 326 MA 10 / US 202 ( S of MA 57 W inction ),) Sm <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W inction ),2008,Southwick,MA,Shell
E Southwick ( 01077 ) The Notch Travel Center ( Shell ),3 413-569-1200 326 MA 10 / US 202 ( S of MA 57 W,) <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W,2014,Southwick,MA,Shell
Southwick ( 01077 ) The Notch Travel Center ( Shell ),413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction ),),Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction ),2015,Southwick,MA,Shell
Southwick ( 01077 ) The Notch Travel Center ( Shell ),413-569-1200 326 MA 10 / US 202 ( S of MA 57 W,) <U+2610> <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W,2016,Southwick,MA,Shell
"E Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),<U+2610> <U+2610>,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2006,Springfield,MA,Sunoco
"E Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),24 HRS,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2007,Springfield,MA,Sunoco
"Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),Sm <U+2610>,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2008,Springfield,MA,Sunoco
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus &,Broad ) POLS 24 S <U+25A1>,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus &,2014,Springfield,MA,
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus & Broad ),) 24 HRS S <U+2610> O,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus & Broad ),2015,Springfield,MA,
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus &,Broad ) 24 S <U+25A1>,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus &,2016,Springfield,MA,
"Lee , 01238 Lee Plaza EB Exxon # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,""" <U+2610> - 0",Lee,1238,Lee Plaza EB Exxon # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2006,Lee,MA,Exxon
"D Lee , 01238 Lee Plaza EB Mobil # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 HRS 48 S,Lee,1238,Lee Plaza EB Mobil # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2007,Lee,MA,Mobil
"Lee , 01238 Lee Plaza EB Mobil # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,16 24 S,Lee,1238,Lee Plaza EB Mobil # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2008,Lee,MA,Mobil
Lee ( 01238 ) Lee Plaza EB # 9010 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 3 S <U+25A1>,Lee,1238,Lee Plaza EB # 9010 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2014,Lee,MA,Gulf
Lee ( 01238 ) Lee Plaza EB # 9010 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 S B <U+2610>,Lee,1238,Lee Plaza EB # 9010 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2015,Lee,MA,Gulf
D Lee ( 01238 ) Lee Plaza EB # 857 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 S 24,Lee,1238,Lee Plaza EB # 857 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2016,Lee,MA,Gulf
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,M <U+2610>,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2006,Lee,MA,Exxon
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,O,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2007,Lee,MA,Exxon
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,HRS 24 S <U+2610> <U+2610>,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2008,Lee,MA,Exxon
D Lee ( 01238 ) Lee Plaza WB # 9015 ( Gulf ),413-243-3344 I-90 ( MATP ) MM 8.5 WB,SO,Lee,1238,Lee Plaza WB # 9015 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2014,Lee,MA,Gulf
D Lee ( 01238 ) Lee Plaza WB # 9015 ( Gulf ),2 413-243-3344 I-90 ( MATP ) MM 8.5 WB,+21 S <U+2610> <U+2610>,Lee,1238,Lee Plaza WB # 9015 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2015,Lee,MA,Gulf
Lee ( 01238 ) Lee Plaza WB # 858 ( Gulf ),413-243-3344 I-90 ( MATP ) MM 8.5 WB,24 SO 11 <U+2610>,Lee,1238,Lee Plaza WB # 858 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2016,Lee,MA,Gulf
", 01432 Mr Mike's # 9 ( Citgo )",978-772-2923 Ayer MA 110-111 W ( off MA 2 ),45 SOO,,1432,Mr Mike's # 9 ( Citgo ),978-772-2923,Ayer MA 110-111 W ( off MA 2 ),2006,Ayer,MA,Citgo
"Ayer , 01432 Mr Mike's # 9 ( Citgo )",5 978-772-2923 MA 110-111 W ( off MA 2 ),,Ayer,1432,Mr Mike's # 9 ( Citgo ),978-772-2923,MA 110-111 W ( off MA 2 ),2007,Ayer,MA,Citgo
"Ayer , 01432 Mr Mike's # 9 ( Citgo ) .",5 978-772-2923 MA 110-111 W ( off MA 2 ),<U+2610> <U+25A1> D <U+25A1> 0,Ayer,1432,Mr Mike's # 9 ( Citgo ) .,978-772-2923,MA 110-111 W ( off MA 2 ),2008,Ayer,MA,Citgo
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),D D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2014,Ayer,MA,Exxon
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2015,Ayer,MA,Exxon
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),T D D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2016,Ayer,MA,Exxon
"Boyleston , 01505 Diplatos Service Station ( Citgo )",51508-869-6800 I-290 Exit 23 B ( MA 140 N ),HRS 24 - S <U+2610>,Boyleston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2006,Boylston,MA,Citgo
"Boyleston , 01505 Diplatos Service Station ( Citgo )",508-869-6800 I-290 Exit 23 B ( MA 140 N ),<U+2610>,Boyleston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2007,Boylston,MA,Citgo
"Boylston , 01505 Diplatos Service Station ( Citgo )",508-869-6800 I-290 Exit 23 B ( MA 140 N ),HRS <U+2610> <U+25A1> <U+2610>,Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2008,Boylston,MA,Citgo
Boylston ( 01505 ) Diplatos Service Station ( Citgo ),508-869-6800 I-290 Exit 23 B ( MA 140 N ),D <U+25A1> <U+25A1> D,Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2014,Boylston,MA,Citgo
Boylston ( 01505 ) Diplatos Service Station ( Citgo ),5 508-869-6800 I-290 Exit 23 B ( MA 140 N ),"""",Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2015,Boylston,MA,Citgo
Boylston ( 01505 ) Boylston Service Station ( Gulf ),508-869-6800 I-290 Exit 23 B ( MA 140 N ),<U+2610><U+2610> <U+25A1> D <U+2610>,Boylston,1505,Boylston Service Station ( Gulf ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2016,Boylston,MA,Gulf
"Charlton , 01507 Charlton Plaza WB Exxon # 5045",508-248-3308 I-90 ( MATP ) MM 83 WB,000,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB,2006,Charlton,MA,Exxon
"D Charlton , 01507 Charlton Plaza WB Exxon # 5045",5 508-248-3308 I-90 ( MATP ) MM 83 WB,24 HRS S <U+2610>,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB,2007,Charlton,MA,Exxon
"Charlton , 01507 Charlton Plaza WB Exxon # 5045",5 508-248-3308 I-90 ( MATP ) MM 83 WB 24,24 <U+25A1> S <U+2610> <U+2610>,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB 24,2008,Charlton,MA,Exxon
D Charlton ( 01507 ) Charlton Plaza WB # 9045 ( Gulf ),508-248-3308 I-90 ( MATP ) MM 83 WB,24 S <U+25A1> <U+2610>,Charlton,1507,Charlton Plaza WB # 9045 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2014,Charlton,MA,Gulf
D Charlton ( 01507 ) Charlton Plaza WB # 9045 ( Gulf ),5 508-248-3308 I-90 ( MATP ) MM 83 WB,24 HRS 1610 S <U+2610>,Charlton,1507,Charlton Plaza WB # 9045 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2015,Charlton,MA,Gulf
Charlton ( 01507 ) Charlton Plaza WB # 855 ( Gulf ),508-248-3308 I-90 ( MATP ) MM 83 WB,24 S <U+2610>,Charlton,1507,Charlton Plaza WB # 855 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2016,Charlton,MA,Gulf
"Charlton , 01507 Charlton Plaza EB Exxon",508-248-4735 I-90 ( MATP ) MM 80 EB,S <U+2610>,Charlton,1507,Charlton Plaza EB Exxon,508-248-4735,I-90 ( MATP ) MM 80 EB,2006,Charlton,MA,Exxon
"Charlton , 01507 Charlton Plaza EB Exxon",508-248-4735 I-90 ( MATP ) MM 80 EB,HRS 000,Charlton,1507,Charlton Plaza EB Exxon,508-248-4735,I-90 ( MATP ) MM 80 EB,2007,Charlton,MA,Exxon
"Charlton , 01507 Charlton Plaza EB Exxon 24",5 508-248-4735 I-90 ( MATP ) MM 80 EB,HRS 24 <U+2610> S 00 <U+25A1> <U+25A1>,Charlton,1507,Charlton Plaza EB Exxon 24,508-248-4735,I-90 ( MATP ) MM 80 EB,2008,Charlton,MA,Exxon
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),508-248-4735 I-90 ( MATP ) MM 80 EB,24 S,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2014,Charlton,MA,Gulf
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),5 508-248-4735 I-90 ( MATP ) MM 80 EB,24 HRS S <U+2610>,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2015,Charlton,MA,Gulf
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),508-248-4735 I-90 ( MATP ) MM 80 EB,22 S 24 D,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2016,Charlton,MA,Gulf
"Shrewsbury , 01545 Flynn's Truck Stop",508-753-9698 US 20 & MA 140,S ),Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2006,Shrewsbury,MA,
"D Shrewsbury , 01545 Flynn's Truck Stop",508-753-9698 US 20 & MA 140,24 HRS XL O,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2007,Shrewsbury,MA,
"Shrewsbury , 01545 Flynn's Truck Stop",5 508-753-9698 US 20 & MA 140,X <U+2610> <U+2610> D DDDD CO,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2008,Shrewsbury,MA,
D Shrewsbury ( 01545 ) Flynn's Truck Stop,5 508-753-9698 US 20 & MA 140,24 MOO,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2014,Shrewsbury,MA,
D Shrewsbury ( 01545 ) Flynn's Truck Stop,508-753-9698 US 20 & MA 140 NATSN,24 RS <U+25C9> M,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140 NATSN,2015,Shrewsbury,MA,
D Shrewsbury ( 01545 ) Flynn's Truck Stop,508-753-9698 US 20 & MA 140,M WW,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2016,Shrewsbury,MA,
"E Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),) 24 HRS,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2006,Sturbridge,MA,
"Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),FIRS 24 L,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2007,Sturbridge,MA,
"Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),24 <U+2610> 00 <U+2610> <U+2610>,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2008,Sturbridge,MA,
Sturbridge ( 01566 ) New England Truck Stop,4 508-347-7363 I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),20 ) 24 MOO 0,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),2014,Sturbridge,MA,
E Sturbridge ( 01566 ) New England Truck Stop,508-347-7363 I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),) 24 HRS M <U+25A1>,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),2015,Sturbridge,MA,
Sturbridge ( 01566 ) New England Truck Stop,508-347-7363 I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),20 ) 24 M <U+25A1>,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 ( MATP ) X 9 / I-84 X 3A ( 1 mi E US 20 ),2016,Sturbridge,MA,
"E Sturbridge , 01566 Pilot Travel Center # 222",508-347-9104 I-84 Exit 1 ( MA 15 ),XL,Sturbridge,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ),2006,Sturbridge,MA,Pilot
"Sturbridge , 01566 Pilot Travel Center # 222",508-347-9104 I-84 Exit 1 ( MA 15 ),24 XL <U+2610>,Sturbridge,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ),2007,Sturbridge,MA,Pilot
01566 Pilot Travel Center # 222,508-347-9104 I-84 Exit 1 ( MA 15 ),D X <U+2610> <U+2610> O <U+2610>,,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ),2008,Sturbridge,MA,Pilot
E Sturbridge ( 01566 ) Pilot Travel Center # 222,508-347-9104 I-84 Exit 1 ( MA 15 ),Pilot 24 <U+2610> XL,Sturbridge,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ),2014,Sturbridge,MA,Pilot
E Sturbridge ( 01566 ) Pilot Travel Center # 222,4 508-347-9104 I-84 Exit 1 ( MA 15 ) pilot,"HRS 24 "" XL O",Sturbridge,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ) pilot,2015,Sturbridge,MA,Pilot
Sturbridge ( 01566 ) Pilot Travel Center # 222,508-347-9104 I-84 Exit 1 ( MA 15 ),pillot 24 <U+2610> XL 24,Sturbridge,1566,Pilot Travel Center # 222,508-347-9104,I-84 Exit 1 ( MA 15 ),2016,Sturbridge,MA,Pilot
"Westborough , 01581 Westborough Plaza WB Exxon # 5155",508-366-4941 I-90 ( MATP ) MM 105 WB,HRS <U+2610>,Westborough,1581,Westborough Plaza WB Exxon # 5155,508-366-4941,I-90 ( MATP ) MM 105 WB,2006,Westborough,MA,Exxon
"Westborough , 01581 Westborough Plaza WB Exxon # 5155",508-366-4941 I-90 ( MATP ) MM 105 WB,FIRS 24 M <U+2610>,Westborough,1581,Westborough Plaza WB Exxon # 5155,508-366-4941,I-90 ( MATP ) MM 105 WB,2007,Westborough,MA,Exxon
"Westborough , 01581 Westborough Plaza WB # 5155 E US 20 )",508-366-4941 I-90 ( MATP ) MM 105 WB ( Gulf ),24 Mm m,Westborough,1581,Westborough Plaza WB # 5155 E US 20 ),508-366-4941,I-90 ( MATP ) MM 105 WB ( Gulf ),2008,Westborough,MA,
Westborough ( 01581 ) Westborough Plaza WB # 9155 ( Gulf ),508-366-4941 I-90 ( MATP ) MM 104.4 WB,24 MO <U+2610>,Westborough,1581,Westborough Plaza WB # 9155 ( Gulf ),508-366-4941,I-90 ( MATP ) MM 104.4 WB,2014,Westborough,MA,Gulf
Westborough ( 01581 ) Westborough Plaza WB # 9155 ( Gulf ),508-366-4941 I-90 ( MATP ) MM 104.4 WB,24 M,Westborough,1581,Westborough Plaza WB # 9155 ( Gulf ),508-366-4941,I-90 ( MATP ) MM 104.4 WB,2015,Westborough,MA,Gulf
Westborough ( 01581 ) Westborough Plaza WB # 860 ( Gulf ),508-366-4941 I-90 ( MATP ) MM 104.4 WB,24 Ma HAS 24 <U+2610>,Westborough,1581,Westborough Plaza WB # 860 ( Gulf ),508-366-4941,I-90 ( MATP ) MM 104.4 WB,2016,Westborough,MA,Gulf
"Framingham , 01701 Plaza WB Exxon # 5165",508-877-8807 I-90 Framingham ( MATP ) MM 116 WB,D,Framingham,1701,Plaza WB Exxon # 5165,508-877-8807,I-90 Framingham ( MATP ) MM 116 WB,2006,Framingham,MA,Exxon
"Framingham , 01701 Framingham Plaza WB Exxon # 5165",6 508-877-8807 I-90 ( MATP ) MM 116 WB,24 HRS S <U+2610> <U+2610>,Framingham,1701,Framingham Plaza WB Exxon # 5165,508-877-8807,I-90 ( MATP ) MM 116 WB,2007,Framingham,MA,Exxon
"Framingham , 01701 Framingham Plaza WB Exxon # 5165 24",6 508-877-8807 I-90 ( MATP ) MM 116 WB HRG,HRG 24 SO <U+2610> <U+2610>,Framingham,1701,Framingham Plaza WB Exxon # 5165 24,508-877-8807,I-90 ( MATP ) MM 116 WB HRG,2008,Framingham,MA,Exxon
D Framingham ( 01701 ) Framingham Plaza WB # 9165 ( Gulf ),508-877-8807 I-90 ( MATP ) MM 116 WB,24 S <U+25A1>,Framingham,1701,Framingham Plaza WB # 9165 ( Gulf ),508-877-8807,I-90 ( MATP ) MM 116 WB,2014,Framingham,MA,Gulf
