clean_line1,clean_line2,line3,city,zip_code,label,phone,address,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Flagged,Flag_Reason,Is_Unclear_OCR
"Southwick , 01077 The Notch Travel Center ( Shell )",31413-569-1200 326 MA 10 / US 202 ( S of MA 57 W inction ),) Sm <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W inction ),2008,Southwick,MA,Shell,( S of MA 57 W inction ),326 MA 10 / US 202,Proper,,False,,False
E Southwick ( 01077 ) The Notch Travel Center ( Shell ),3 413-569-1200 326 MA 10 / US 202 ( S of MA 57 W,) <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W,2014,Southwick,MA,Shell,( S of MA 57 W,326 MA 10 / US 202,Proper,,False,,False
Southwick ( 01077 ) The Notch Travel Center ( Shell ),413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction ),),Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction ),2015,Southwick,MA,Shell,( S of MA 57 W junction ),326 MA 10 / US 202,Proper,,False,,False
Southwick ( 01077 ) The Notch Travel Center ( Shell ),413-569-1200 326 MA 10 / US 202 ( S of MA 57 W,) <U+2610> <U+2610>,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W,2016,Southwick,MA,Shell,( S of MA 57 W,326 MA 10 / US 202,Proper,,False,,False
"E Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),<U+2610> <U+2610>,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2006,Springfield,MA,Sunoco,( W Columbus ),I-91 Exit 4 NB / 5 SB ,Exit,4,False,,False
"E Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),24 HRS,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2007,Springfield,MA,Sunoco,( W Columbus ),I-91 Exit 4 NB / 5 SB ,Exit,4,False,,False
"Springfield , 01105 Broad Street Truck Stop ( Sunoco )",413-739-8678 I-91 Exit 4 NB / 5 SB ( W Columbus ),Sm <U+2610>,Springfield,1105,Broad Street Truck Stop ( Sunoco ),413-739-8678,I-91 Exit 4 NB / 5 SB ( W Columbus ),2008,Springfield,MA,Sunoco,( W Columbus ),I-91 Exit 4 NB / 5 SB ,Exit,4,False,,False
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus &,Broad ) POLS 24 S <U+25A1>,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus &,2014,Springfield,MA,,( W Columbus &,I-91 Exit 5 NB / 6 SB ,Exit,5,False,,False
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus & Broad ),) 24 HRS S <U+2610> O,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus & Broad ),2015,Springfield,MA,,( W Columbus & Broad ),I-91 Exit 5 NB / 6 SB ,Exit,5,False,,False
Springfield ( 01105 ) Broad Street Truck Stop,413-739-8678 I-91 Exit 5 NB / 6 SB ( W Columbus &,Broad ) 24 S <U+25A1>,Springfield,1105,Broad Street Truck Stop,413-739-8678,I-91 Exit 5 NB / 6 SB ( W Columbus &,2016,Springfield,MA,,( W Columbus &,I-91 Exit 5 NB / 6 SB ,Exit,5,False,,False
"Lee , 01238 Lee Plaza EB Exxon # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,""" <U+2610> - 0",Lee,1238,Lee Plaza EB Exxon # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2006,Lee,MA,Exxon,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
"D Lee , 01238 Lee Plaza EB Mobil # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 HRS 48 S,Lee,1238,Lee Plaza EB Mobil # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2007,Lee,MA,Mobil,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
"Lee , 01238 Lee Plaza EB Mobil # 5010",413-243-3288 I-90 ( MATP ) MM 8.5 EB,16 24 S,Lee,1238,Lee Plaza EB Mobil # 5010,413-243-3288,I-90 ( MATP ) MM 8.5 EB,2008,Lee,MA,Mobil,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
Lee ( 01238 ) Lee Plaza EB # 9010 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 3 S <U+25A1>,Lee,1238,Lee Plaza EB # 9010 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2014,Lee,MA,Gulf,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
Lee ( 01238 ) Lee Plaza EB # 9010 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 S B <U+2610>,Lee,1238,Lee Plaza EB # 9010 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2015,Lee,MA,Gulf,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
D Lee ( 01238 ) Lee Plaza EB # 857 ( Gulf ),413-243-3288 I-90 ( MATP ) MM 8.5 EB,24 S 24,Lee,1238,Lee Plaza EB # 857 ( Gulf ),413-243-3288,I-90 ( MATP ) MM 8.5 EB,2016,Lee,MA,Gulf,( MATP ) MM 8.5 EB,I-90,empty,,False,,False
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,M <U+2610>,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2006,Lee,MA,Exxon,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,O,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2007,Lee,MA,Exxon,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
"Lee , 01238 Lee Plaza WB Exxon # 5015",413-243-3344 I-90 ( MATP ) MM 8.5 WB,HRS 24 S <U+2610> <U+2610>,Lee,1238,Lee Plaza WB Exxon # 5015,413-243-3344,I-90 ( MATP ) MM 8.5 WB,2008,Lee,MA,Exxon,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
D Lee ( 01238 ) Lee Plaza WB # 9015 ( Gulf ),413-243-3344 I-90 ( MATP ) MM 8.5 WB,SO,Lee,1238,Lee Plaza WB # 9015 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2014,Lee,MA,Gulf,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
D Lee ( 01238 ) Lee Plaza WB # 9015 ( Gulf ),2 413-243-3344 I-90 ( MATP ) MM 8.5 WB,+21 S <U+2610> <U+2610>,Lee,1238,Lee Plaza WB # 9015 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2015,Lee,MA,Gulf,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
Lee ( 01238 ) Lee Plaza WB # 858 ( Gulf ),413-243-3344 I-90 ( MATP ) MM 8.5 WB,24 SO 11 <U+2610>,Lee,1238,Lee Plaza WB # 858 ( Gulf ),413-243-3344,I-90 ( MATP ) MM 8.5 WB,2016,Lee,MA,Gulf,( MATP ) MM 8.5 WB,I-90,empty,,False,,False
", 01432 Mr Mike's # 9 ( Citgo )",978-772-2923 Ayer MA 110-111 W ( off MA 2 ),45 SOO,,1432,Mr Mike's # 9 ( Citgo ),978-772-2923,Ayer MA 110-111 W ( off MA 2 ),2006,Ayer,MA,Citgo,( off MA 2 ),Ayer MA 110-111 W,empty,,False,,False
"Ayer , 01432 Mr Mike's # 9 ( Citgo )",5 978-772-2923 MA 110-111 W ( off MA 2 ),,Ayer,1432,Mr Mike's # 9 ( Citgo ),978-772-2923,MA 110-111 W ( off MA 2 ),2007,Ayer,MA,Citgo,( off MA 2 ),MA 110-111 W,empty,,False,,False
"Ayer , 01432 Mr Mike's # 9 ( Citgo ) .",5 978-772-2923 MA 110-111 W ( off MA 2 ),<U+2610> <U+25A1> D <U+25A1> 0,Ayer,1432,Mr Mike's # 9 ( Citgo ) .,978-772-2923,MA 110-111 W ( off MA 2 ),2008,Ayer,MA,Citgo,( off MA 2 ),MA 110-111 W,empty,,False,,False
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),D D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2014,Ayer,MA,Exxon,( off MA 2 ),MA 110-111 W,empty,,False,,False
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2015,Ayer,MA,Exxon,( off MA 2 ),MA 110-111 W,empty,,False,,False
Ayer ( 01432 ) Mr Mike's # 309 ( Exxon ),5 978-772-2923 MA 110-111 W ( off MA 2 ),T D D,Ayer,1432,Mr Mike's # 309 ( Exxon ),978-772-2923,MA 110-111 W ( off MA 2 ),2016,Ayer,MA,Exxon,( off MA 2 ),MA 110-111 W,empty,,False,,False
"Boyleston , 01505 Diplatos Service Station ( Citgo )",51508-869-6800 I-290 Exit 23 B ( MA 140 N ),HRS 24 - S <U+2610>,Boyleston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2006,Boylston,MA,Citgo,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
"Boyleston , 01505 Diplatos Service Station ( Citgo )",508-869-6800 I-290 Exit 23 B ( MA 140 N ),<U+2610>,Boyleston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2007,Boylston,MA,Citgo,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
"Boylston , 01505 Diplatos Service Station ( Citgo )",508-869-6800 I-290 Exit 23 B ( MA 140 N ),HRS <U+2610> <U+25A1> <U+2610>,Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2008,Boylston,MA,Citgo,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
Boylston ( 01505 ) Diplatos Service Station ( Citgo ),508-869-6800 I-290 Exit 23 B ( MA 140 N ),D <U+25A1> <U+25A1> D,Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2014,Boylston,MA,Citgo,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
Boylston ( 01505 ) Diplatos Service Station ( Citgo ),5 508-869-6800 I-290 Exit 23 B ( MA 140 N ),"""",Boylston,1505,Diplatos Service Station ( Citgo ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2015,Boylston,MA,Citgo,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
Boylston ( 01505 ) Boylston Service Station ( Gulf ),508-869-6800 I-290 Exit 23 B ( MA 140 N ),<U+2610><U+2610> <U+25A1> D <U+2610>,Boylston,1505,Boylston Service Station ( Gulf ),508-869-6800,I-290 Exit 23 B ( MA 140 N ),2016,Boylston,MA,Gulf,( MA 140 N ),I-290 Exit 23 B ,Exit,23,False,,False
"Charlton , 01507 Charlton Plaza WB Exxon # 5045",508-248-3308 I-90 ( MATP ) MM 83 WB,000,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB,2006,Charlton,MA,Exxon,( MATP ) MM 83 WB,I-90,empty,,False,,False
"D Charlton , 01507 Charlton Plaza WB Exxon # 5045",5 508-248-3308 I-90 ( MATP ) MM 83 WB,24 HRS S <U+2610>,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB,2007,Charlton,MA,Exxon,( MATP ) MM 83 WB,I-90,empty,,False,,False
"Charlton , 01507 Charlton Plaza WB Exxon # 5045",5 508-248-3308 I-90 ( MATP ) MM 83 WB 24,24 <U+25A1> S <U+2610> <U+2610>,Charlton,1507,Charlton Plaza WB Exxon # 5045,508-248-3308,I-90 ( MATP ) MM 83 WB 24,2008,Charlton,MA,Exxon,( MATP ) MM 83 WB 24,I-90,empty,,False,,False
D Charlton ( 01507 ) Charlton Plaza WB # 9045 ( Gulf ),508-248-3308 I-90 ( MATP ) MM 83 WB,24 S <U+25A1> <U+2610>,Charlton,1507,Charlton Plaza WB # 9045 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2014,Charlton,MA,Gulf,( MATP ) MM 83 WB,I-90,empty,,False,,False
D Charlton ( 01507 ) Charlton Plaza WB # 9045 ( Gulf ),5 508-248-3308 I-90 ( MATP ) MM 83 WB,24 HRS 1610 S <U+2610>,Charlton,1507,Charlton Plaza WB # 9045 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2015,Charlton,MA,Gulf,( MATP ) MM 83 WB,I-90,empty,,False,,False
Charlton ( 01507 ) Charlton Plaza WB # 855 ( Gulf ),508-248-3308 I-90 ( MATP ) MM 83 WB,24 S <U+2610>,Charlton,1507,Charlton Plaza WB # 855 ( Gulf ),508-248-3308,I-90 ( MATP ) MM 83 WB,2016,Charlton,MA,Gulf,( MATP ) MM 83 WB,I-90,empty,,False,,False
"Charlton , 01507 Charlton Plaza EB Exxon",508-248-4735 I-90 ( MATP ) MM 80 EB,S <U+2610>,Charlton,1507,Charlton Plaza EB Exxon,508-248-4735,I-90 ( MATP ) MM 80 EB,2006,Charlton,MA,Exxon,( MATP ) MM 80 EB,I-90,empty,,False,,False
"Charlton , 01507 Charlton Plaza EB Exxon",508-248-4735 I-90 ( MATP ) MM 80 EB,HRS 000,Charlton,1507,Charlton Plaza EB Exxon,508-248-4735,I-90 ( MATP ) MM 80 EB,2007,Charlton,MA,Exxon,( MATP ) MM 80 EB,I-90,empty,,False,,False
"Charlton , 01507 Charlton Plaza EB Exxon 24",5 508-248-4735 I-90 ( MATP ) MM 80 EB,HRS 24 <U+2610> S 00 <U+25A1> <U+25A1>,Charlton,1507,Charlton Plaza EB Exxon 24,508-248-4735,I-90 ( MATP ) MM 80 EB,2008,Charlton,MA,Exxon,( MATP ) MM 80 EB,I-90,empty,,False,,False
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),508-248-4735 I-90 ( MATP ) MM 80 EB,24 S,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2014,Charlton,MA,Gulf,( MATP ) MM 80 EB,I-90,empty,,False,,False
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),5 508-248-4735 I-90 ( MATP ) MM 80 EB,24 HRS S <U+2610>,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2015,Charlton,MA,Gulf,( MATP ) MM 80 EB,I-90,empty,,False,,False
D Charlton ( 01507 ) Charlton Plaza EB ( Gulf ),508-248-4735 I-90 ( MATP ) MM 80 EB,22 S 24 D,Charlton,1507,Charlton Plaza EB ( Gulf ),508-248-4735,I-90 ( MATP ) MM 80 EB,2016,Charlton,MA,Gulf,( MATP ) MM 80 EB,I-90,empty,,False,,False
"Shrewsbury , 01545 Flynn's Truck Stop",508-753-9698 US 20 & MA 140,S ),Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2006,Shrewsbury,MA,,,US 20 & MA 140,empty,,False,,False
"D Shrewsbury , 01545 Flynn's Truck Stop",508-753-9698 US 20 & MA 140,24 HRS XL O,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2007,Shrewsbury,MA,,,US 20 & MA 140,empty,,False,,False
"Shrewsbury , 01545 Flynn's Truck Stop",5 508-753-9698 US 20 & MA 140,X <U+2610> <U+2610> D DDDD CO,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2008,Shrewsbury,MA,,,US 20 & MA 140,empty,,False,,False
D Shrewsbury ( 01545 ) Flynn's Truck Stop,5 508-753-9698 US 20 & MA 140,24 MOO,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2014,Shrewsbury,MA,,,US 20 & MA 140,empty,,False,,False
D Shrewsbury ( 01545 ) Flynn's Truck Stop,508-753-9698 US 20 & MA 140 NATSN,24 RS <U+25C9> M,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140 NATSN,2015,Shrewsbury,MA,,,US 20 & MA 140 NATSN,empty,,False,,False
D Shrewsbury ( 01545 ) Flynn's Truck Stop,508-753-9698 US 20 & MA 140,M WW,Shrewsbury,1545,Flynn's Truck Stop,508-753-9698,US 20 & MA 140,2016,Shrewsbury,MA,,,US 20 & MA 140,empty,,False,,False
"E Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),) 24 HRS,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2006,Sturbridge,MA,,( 1 mi E US 20 ),I-90 Exit 9 / I-84 Exit 3A ,Exit,9,False,,False
"Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),FIRS 24 L,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2007,Sturbridge,MA,,( 1 mi E US 20 ),I-90 Exit 9 / I-84 Exit 3A ,Exit,9,False,,False
"Sturbridge , 01566 New England Truck Stop",508-347-7363 I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),24 <U+2610> 00 <U+2610> <U+2610>,Sturbridge,1566,New England Truck Stop,508-347-7363,I-90 Exit 9 / I-84 Exit 3A ( 1 mi E US 20 ),2008,Sturbridge,MA,,( 1 mi E US 20 ),I-90 Exit 9 / I-84 Exit 3A ,Exit,9,False,,False
